month,role,new_ads,unique_employers
2023-05-01,Data Engineer,66,46
2023-05-01,Data Scientist,14,13
2023-05-01,Software Developer,951,311
2023-06-01,Analytics Engineer,2,1
2023-06-01,Data Engineer,44,32
2023-06-01,Data Scientist,16,15
2023-06-01,Software Developer,702,244
2023-07-01,Analytics Engineer,1,1
2023-07-01,Data Engineer,29,24
2023-07-01,Data Scientist,18,10
2023-07-01,Software Developer,513,183
2023-08-01,Analytics Engineer,4,4
2023-08-01,Data Engineer,40,35
2023-08-01,Data Scientist,31,25
2023-08-01,Software Developer,681,246
2023-09-01,Analytics Engineer,7,6
2023-09-01,Data Engineer,39,31
2023-09-01,Data Scientist,20,17
2023-09-01,Software Developer,687,230
2023-10-01,Analytics Engineer,4,4
2023-10-01,Data Engineer,50,40
2023-10-01,Data Scientist,21,20
2023-10-01,Software Developer,644,247
2023-11-01,Analytics Engineer,2,2
2023-11-01,Data Engineer,64,34
2023-11-01,Data Scientist,36,21
2023-11-01,Software Developer,680,233
2023-12-01,Analytics Engineer,4,4
2023-12-01,Data Engineer,40,35
2023-12-01,Data Scientist,21,19
2023-12-01,Software Developer,550,216
2024-01-01,Analytics Engineer,2,1
2024-01-01,Data Engineer,43,28
2024-01-01,Data Scientist,21,10
2024-01-01,Software Developer,605,237
2024-02-01,Analytics Engineer,2,2
2024-02-01,Data Engineer,44,34
2024-02-01,Data Scientist,13,12
2024-02-01,Software Developer,618,242
2024-03-01,Analytics Engineer,5,5
2024-03-01,Data Engineer,43,32
2024-03-01,Data Scientist,18,14
2024-03-01,Software Developer,580,236
2024-04-01,Analytics Engineer,2,2
2024-04-01,Data Engineer,62,49
2024-04-01,Data Scientist,23,20
2024-04-01,Software Developer,584,254
2024-05-01,Analytics Engineer,4,4
2024-05-01,Data Engineer,43,32
2024-05-01,Data Scientist,12,11
2024-05-01,Software Developer,547,233
2024-06-01,Analytics Engineer,0,0
2024-06-01,Data Engineer,66,29
2024-06-01,Data Scientist,13,13
2024-06-01,Software Developer,626,209
2024-07-01,Analytics Engineer,1,1
2024-07-01,Data Engineer,46,34
2024-07-01,Data Scientist,13,12
2024-07-01,Software Developer,399,178
2024-08-01,Analytics Engineer,1,1
2024-08-01,Data Engineer,39,29
2024-08-01,Data Scientist,18,16
2024-08-01,Software Developer,600,213
2024-09-01,Analytics Engineer,1,1
2024-09-01,Data Engineer,70,54
2024-09-01,Data Scientist,21,17
2024-09-01,Software Developer,646,226
2024-10-01,Analytics Engineer,7,7
2024-10-01,Data Engineer,65,45
2024-10-01,Data Scientist,24,22
2024-10-01,Software Developer,654,241
2024-11-01,Analytics Engineer,5,5
2024-11-01,Data Engineer,64,38
2024-11-01,Data Scientist,21,18
2024-11-01,Software Developer,562,214
2024-12-01,Analytics Engineer,0,0
2024-12-01,Data Engineer,39,31
2024-12-01,Data Scientist,23,23
2024-12-01,Software Developer,528,241
2025-01-01,Analytics Engineer,4,3
2025-01-01,Data Engineer,63,44
2025-01-01,Data Scientist,23,21
2025-01-01,Software Developer,556,235
2025-02-01,Analytics Engineer,3,3
2025-02-01,Data Engineer,54,43
2025-02-01,Data Scientist,16,15
2025-02-01,Software Developer,489,218
2025-03-01,Analytics Engineer,1,1
2025-03-01,Data Engineer,42,32
2025-03-01,Data Scientist,25,18
2025-03-01,Software Developer,432,210
2025-04-01,Analytics Engineer,3,3
2025-04-01,Data Engineer,58,38
2025-04-01,Data Scientist,29,23
2025-04-01,Software Developer,522,227
2025-05-01,Analytics Engineer,5,5
2025-05-01,Data Engineer,70,56
2025-05-01,Data Scientist,21,17
2025-05-01,Software Developer,409,195
2025-06-01,Analytics Engineer,0,0
2025-06-01,Data Engineer,44,31
2025-06-01,Data Scientist,16,15
2025-06-01,Software Developer,364,178
2025-07-01,Analytics Engineer,4,2
2025-07-01,Data Engineer,36,26
2025-07-01,Data Scientist,22,18
2025-07-01,Software Developer,292,143
2025-08-01,Analytics Engineer,4,3
2025-08-01,Data Engineer,51,35
2025-08-01,Data Scientist,16,16
2025-08-01,Software Developer,303,155
2025-09-01,Analytics Engineer,1,1
2025-09-01,Data Engineer,59,42
2025-09-01,Data Scientist,25,18
2025-09-01,Software Developer,474,220
2025-10-01,Analytics Engineer,2,2
2025-10-01,Data Engineer,70,47
2025-10-01,Data Scientist,13,12
2025-10-01,Software Developer,482,212
2025-11-01,Analytics Engineer,3,3
2025-11-01,Data Engineer,56,39
2025-11-01,Data Scientist,15,10
2025-11-01,Software Developer,466,206
2025-12-01,Analytics Engineer,4,3
2025-12-01,Data Engineer,52,43
2025-12-01,Data Scientist,20,17
2025-12-01,Software Developer,386,195
